image_id,phototype,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio,undertone
IMG_00931,Tan,150.517,109.83,73.854,150.603,109.007,74.793,7.788,10.485,6.732,13.643,81.865,123.997,48.626,16.555,16.737,4.905,2.795,1.732,-4.692,1.011,1.3705,2.038,Neutral
IMG_01147,Medium,173.169,142.201,105.977,175.056,141.314,106.213,8.922,7.655,10.343,12.668,93.734,155.862,61.122,14.06,14.87,3.809,1.718,1.621,36.795,1.0576,1.2178,1.634,Neutral
IMG_01006,Medium,193.874,137.998,108.255,194.16,139.28,109.408,4.173,7.658,9.974,10.963,93.755,159.936,62.72,19.995,13.831,4.338,1.69,1.435,42.605,0.6917,1.4049,1.7909,Neutral
IMG_00332,Medium,198.382,158.772,105.895,197.782,158.193,107.214,11.06,3.641,9.145,15.281,97.246,171.741,67.349,14.146,21.511,3.895,2.228,1.218,38.887,1.5207,1.2495,1.8734,Warm
IMG_00097,Tan,136.485,97.167,65.484,136.131,97.349,65.939,5.21,5.077,5.382,21.313,96.44,111.074,43.558,14.748,15.652,5.402,2.491,2.561,-22.37,1.0613,1.4047,2.0843,Warm
IMG_00813,Tan,162.1,104.438,90.001,161.186,104.215,90.453,10.63,8.722,8.23,7.456,93.273,126.302,49.53,19.719,9.535,3.708,3.275,2.893,-2.821,0.4835,1.5521,1.8011,Cool
IMG_00895,Fair,215.979,165.953,135.008,216.95,166.308,132.893,11.189,8.241,8.135,7.083,74.864,193.642,75.938,15.244,12.071,4.822,3.106,3.482,65.043,0.7919,1.3014,1.5998,Cool
IMG_00523,Medium,177.863,118.647,94.895,178.711,118.547,94.535,5.557,6.235,10.599,7.259,75.854,137.325,53.853,24.429,13.057,2.986,2.737,3.124,16.44,0.5345,1.4991,1.8743,Cool
IMG_00527,Deep,128.617,67.735,50.001,129.924,65.714,51.155,5.335,3.662,4.5,8.545,65.961,88.638,34.76,20.817,11.173,4.618,3.045,3.769,-53.754,0.5367,1.8988,2.5723,Cool
IMG_00157,Deep,105.744,75.743,33.855,104.239,73.978,33.631,10.431,6.534,10.979,16.097,98.448,80.986,31.759,15.57,19.281,4.236,1.939,1.772,-43.412,1.2384,1.3961,3.1235,Warm
IMG_00530,Deep,123.426,76.382,62.155,125.18,77.601,62.38,6.338,8.09,8.312,6.36,100.308,92.995,36.469,18.748,9.324,2.838,1.27,2.327,-55.429,0.4974,1.6159,1.9858,Cool
IMG_00529,Deep,93.844,59.221,44.573,95.213,57.951,45.229,9.173,10.17,9.459,9.989,92.992,71.874,28.186,13.349,13.077,2.16,1.964,2.423,-59.058,0.9796,1.5846,2.1054,Cool
IMG_00580,Medium,166.392,115.074,104.414,164.701,112.603,105.372,8.378,5.118,6.079,3.974,92.051,139.593,54.742,18.213,9.34,4.456,3.18,3.158,26.919,0.5128,1.446,1.5936,Cool
IMG_00352,Medium,172.014,140.574,89.021,172.181,140.928,88.735,6.635,3.795,7.222,12.156,96.703,156.074,61.206,13.265,25.252,4.178,1.587,3.177,23.929,1.9037,1.2237,1.9323,Warm
IMG_00515,Tan,153.744,116.93,90.149,153.436,116.322,91.684,4.776,5.959,9.779,7.556,64.03,132.943,52.135,15.897,10.767,2.267,3.367,3.764,11.214,0.6773,1.3148,1.7054,Cool
IMG_00946,Medium,183.792,137.15,105.886,184.288,135.783,105.102,8.245,4.217,8.823,11.724,73.466,157.759,61.866,14.225,15.617,3.451,1.397,3.39,37.228,1.0979,1.3401,1.7358,Neutral
IMG_01023,Medium,180.267,151.107,109.801,182.0,153.001,109.643,7.049,8.736,4.814,8.764,76.418,164.911,64.671,10.947,15.43,3.698,1.464,1.56,43.555,1.4096,1.193,1.6418,Neutral
IMG_00843,Tan,148.257,112.074,85.161,147.756,113.263,84.448,7.462,8.256,6.884,13.952,60.626,123.763,48.535,14.331,9.963,3.334,1.898,2.268,-8.367,0.6952,1.3229,1.7409,Cool
IMG_00343,Medium,152.264,132.98,76.91,151.934,134.028,76.441,4.416,9.518,6.937,17.239,126.907,135.866,53.281,12.626,23.76,3.05,1.756,2.456,7.862,1.8818,1.145,1.9798,Warm
IMG_00355,Fair,225.562,173.086,143.511,224.494,173.84,142.423,7.574,5.279,9.689,13.354,106.92,201.518,79.027,17.396,17.527,3.941,2.45,1.992,58.876,1.0075,1.3032,1.5717,Warm
IMG_00309,Deep,97.59,76.064,25.304,98.557,75.344,25.373,7.246,3.788,6.105,16.402,106.285,75.711,29.69,13.441,20.887,3.061,2.778,3.667,-44.197,1.5539,1.283,3.8568,Warm
IMG_00431,Fair,231.914,199.253,140.953,230.404,200.308,140.9,8.636,5.507,6.252,13.839,71.943,214.103,83.962,13.939,27.21,2.336,1.32,1.859,51.299,1.9521,1.1639,1.6453,Warm
IMG_00784,Fair,211.281,162.421,131.7,209.708,162.206,134.513,8.737,5.955,5.112,10.696,64.036,184.777,72.461,18.824,11.559,2.466,3.223,2.345,62.768,0.6141,1.3008,1.6043,Cool
IMG_01118,Medium,173.091,133.251,97.91,172.946,132.689,98.895,11.148,6.538,7.8,11.452,79.865,147.641,57.899,15.112,15.553,5.87,3.46,2.37,26.924,1.0292,1.299,1.7679,Neutral
IMG_00708,Fair,226.697,172.532,139.379,226.56,171.061,139.541,11.573,9.944,8.633,5.425,119.132,199.082,78.071,15.95,13.908,3.872,1.414,3.256,63.644,0.872,1.3139,1.6265,Cool
IMG_00661,Tan,152.835,118.503,89.047,153.121,119.209,90.359,11.608,6.899,6.996,10.358,80.447,132.937,52.132,13.76,10.573,4.618,1.438,1.859,11.401,0.7684,1.2897,1.7164,Cool
IMG_01179,Fair,233.877,190.37,138.586,233.279,189.559,139.426,5.597,5.381,6.8,11.126,118.899,206.057,80.807,16.624,21.29,3.785,2.981,2.155,55.352,1.2807,1.2285,1.6876,Neutral
IMG_00125,Fair,193.61,162.091,104.363,193.282,161.158,105.238,4.502,9.375,3.529,13.916,83.729,172.762,67.75,13.438,21.758,2.987,2.904,2.022,39.207,1.6191,1.1945,1.8552,Warm
IMG_00179,Tan,150.26,117.314,69.756,149.657,116.722,68.752,11.077,9.769,10.319,17.538,106.438,131.225,51.461,13.867,21.032,3.256,2.789,1.906,3.973,1.5167,1.2808,2.1541,Warm
IMG_00288,Medium,176.475,146.901,96.511,176.829,147.708,96.972,8.985,5.992,9.417,18.429,90.387,159.448,62.529,11.59,20.747,2.935,2.67,1.813,31.127,1.7901,1.2013,1.8286,Warm
IMG_01301,Fair,204.427,163.357,122.891,203.226,165.828,122.403,9.252,7.067,5.277,11.824,102.278,181.442,71.154,15.338,15.82,5.689,1.325,2.991,53.209,1.0314,1.2514,1.6635,Neutral
IMG_01122,Tan,131.567,86.882,64.227,130.673,86.922,64.685,8.314,4.554,6.959,10.743,83.037,100.969,39.596,15.875,15.817,4.179,3.387,2.153,-33.337,0.9964,1.5143,2.0485,Neutral
IMG_00295,Fair,210.127,163.861,125.887,210.181,165.369,129.001,11.893,3.891,4.566,14.176,70.427,190.633,74.758,14.091,18.864,2.211,2.639,1.342,52.694,1.3387,1.2824,1.6692,Warm
IMG_00486,Tan,138.206,104.849,66.635,137.986,105.992,67.582,9.043,5.609,3.639,4.117,57.543,111.147,43.587,16.383,15.182,5.555,1.722,3.616,-22.9,0.9266,1.3182,2.0741,Cool
IMG_01152,Fair,232.587,182.664,140.298,232.461,180.939,139.722,10.114,5.738,10.637,11.143,66.754,206.876,81.128,17.256,19.631,4.583,2.248,2.418,57.762,1.1376,1.2733,1.6578,Neutral
IMG_00362,Deep,96.3,77.581,29.948,98.764,78.602,31.416,9.045,6.647,4.915,17.168,110.447,76.711,30.083,11.924,19.931,4.032,2.416,3.308,-44.981,1.6715,1.2413,3.2156,Warm
IMG_01169,Medium,194.312,157.351,118.072,193.933,158.752,119.054,11.174,5.19,8.795,13.385,86.078,176.597,69.254,12.751,15.96,3.209,1.303,2.647,50.344,1.2517,1.2349,1.6457,Neutral
IMG_00969,Fair,226.527,187.414,142.806,227.925,187.071,144.494,4.182,5.406,9.965,11.911,97.764,208.94,81.937,11.814,17.575,2.146,2.203,1.506,61.176,1.4877,1.2087,1.5863,Neutral
IMG_00089,Tan,141.923,111.546,68.354,141.622,111.522,69.348,8.52,8.322,10.05,17.592,136.407,122.711,48.122,10.218,20.586,4.545,2.951,1.616,-5.213,2.0147,1.2723,2.0763,Warm
IMG_01090,Tan,156.753,115.043,77.246,155.993,115.995,77.928,9.736,10.345,9.554,11.222,67.072,127.341,49.938,15.715,17.526,3.105,2.832,3.185,-0.204,1.1152,1.3626,2.0293,Neutral
IMG_00448,Fair,217.252,182.003,125.923,215.05,181.871,125.702,8.251,9.139,9.435,18.822,96.404,199.039,78.055,14.466,23.827,4.325,2.996,1.699,49.658,1.6471,1.1937,1.7253,Warm
IMG_01211,Medium,193.712,158.617,109.822,192.499,159.434,109.856,6.548,6.476,9.533,12.736,78.741,170.845,66.998,13.909,19.45,2.357,3.177,2.009,41.152,1.3984,1.2213,1.7639,Neutral
IMG_00772,Medium,201.317,145.673,125.044,201.432,145.207,125.311,6.71,6.382,4.227,2.358,105.712,173.303,67.962,14.793,10.62,2.944,1.319,3.79,59.406,0.7179,1.382,1.61,Cool
IMG_01088,Medium,165.846,125.901,100.068,166.182,127.067,98.383,5.052,9.082,4.394,11.932,117.737,143.603,56.315,14.771,13.071,3.632,1.945,2.723,25.786,0.8849,1.3173,1.6573,Neutral
IMG_01014,Fair,210.537,176.033,131.528,209.383,177.51,131.653,7.644,5.859,7.61,10.793,108.932,195.84,76.8,13.5,16.172,5.094,2.751,1.966,58.892,1.198,1.196,1.6007,Neutral
IMG_00721,Tan,160.368,117.234,98.159,158.082,117.156,98.584,8.804,5.303,6.001,6.382,80.322,139.731,54.797,15.454,12.077,3.766,2.417,2.368,21.662,0.7814,1.3679,1.6338,Cool
IMG_00291,Medium,169.61,147.369,87.614,169.541,146.966,86.804,6.066,5.204,6.933,20.034,81.484,155.021,60.793,13.2,25.737,5.038,1.674,3.044,22.75,1.9498,1.1509,1.9359,Warm
IMG_00286,Deep,103.045,73.925,38.523,103.667,75.837,38.546,4.106,7.294,6.947,21.254,116.317,77.78,30.502,13.679,17.845,3.996,1.366,2.98,-47.534,1.3046,1.3939,2.6749,Warm
IMG_01328,Tan,149.249,123.325,77.518,150.37,122.456,78.713,7.975,3.695,6.045,12.739,68.216,130.486,51.171,13.18,16.98,4.09,2.39,1.741,3.945,1.2883,1.2102,1.9254,Neutral
IMG_01279,Fair,236.951,175.659,140.866,236.325,174.844,138.635,4.622,4.069,9.337,8.634,83.733,203.24,79.702,19.536,16.758,3.401,1.724,3.143,60.568,0.8578,1.3489,1.6821,Neutral
IMG_00463,Medium,186.952,122.543,114.152,187.637,123.297,114.991,10.772,6.488,7.64,6.983,66.006,157.781,61.875,20.443,7.652,2.924,2.91,2.583,57.203,0.3743,1.5256,1.6377,Cool
IMG_00740,Medium,187.338,130.982,109.366,188.261,130.428,107.801,11.538,6.288,5.048,8.683,60.731,154.202,60.471,16.661,12.245,4.204,1.455,1.951,40.535,0.735,1.4303,1.7129,Cool
IMG_00267,Deep,114.797,87.862,41.513,115.729,87.794,39.846,6.898,9.285,8.761,18.906,101.341,92.909,36.435,14.625,21.741,3.837,1.327,2.31,-31.962,1.4866,1.3066,2.7653,Warm
IMG_00328,Fair,202.774,168.05,108.816,203.148,166.212,110.196,7.143,4.758,7.836,12.896,109.457,180.895,70.939,13.726,21.548,5.832,2.357,1.416,44.178,1.5699,1.2066,1.8635,Warm
IMG_00349,Fair,202.187,172.054,103.922,199.464,171.802,102.839,4.624,4.243,7.196,16.616,97.078,179.505,70.394,14.65,28.856,2.643,3.45,1.612,35.251,1.9698,1.1751,1.9456,Warm
IMG_00381,Fair,202.689,172.112,109.895,201.587,172.881,110.693,11.247,7.114,4.653,14.312,93.6,184.913,72.515,12.65,27.281,5.687,2.942,3.102,39.533,2.1566,1.1777,1.8444,Warm
IMG_00060,Fair,214.581,173.432,131.641,214.523,173.166,131.674,5.936,10.407,4.569,12.515,108.687,193.509,75.886,12.505,15.511,3.996,2.622,3.026,59.069,1.2404,1.2373,1.63,Warm
IMG_00423,Deep,105.909,78.15,48.686,105.56,77.691,48.828,4.359,9.941,7.027,17.296,99.141,85.26,33.435,12.194,17.1,2.116,2.787,2.453,-44.088,1.4023,1.3552,2.1753,Warm
IMG_01274,Medium,193.426,145.905,100.241,192.394,144.732,100.119,9.624,8.056,4.183,9.969,88.557,164.496,64.508,16.013,21.116,4.309,1.539,1.856,34.491,1.3187,1.3257,1.9296,Neutral
IMG_00426,Medium,176.057,137.895,93.843,177.79,137.853,92.818,8.43,10.405,8.992,17.556,108.985,146.985,57.641,15.072,19.527,5.108,3.207,1.761,21.371,1.2955,1.2768,1.8761,Warm
IMG_00882,Medium,182.107,116.716,97.849,180.416,116.973,96.739,10.844,3.851,10.115,14.046,79.501,145.634,57.111,19.772,9.307,5.408,2.365,2.475,37.384,0.4707,1.5603,1.8611,Cool
IMG_01226,Medium,178.455,134.529,105.505,177.801,135.651,105.775,10.443,6.983,7.45,9.487,66.428,152.331,59.738,17.671,13.516,4.784,2.371,2.284,35.771,0.7648,1.3265,1.6914,Neutral
IMG_00811,Fair,233.187,182.792,142.828,233.085,183.801,141.897,6.573,7.492,5.275,13.481,73.527,201.881,79.169,17.975,16.51,2.574,2.06,3.122,60.49,0.9185,1.2757,1.6326,Cool
IMG_00865,Tan,158.782,109.054,94.374,159.7,110.442,95.536,9.365,5.078,5.302,5.705,69.511,130.493,51.174,16.306,9.521,4.299,2.489,3.199,7.028,0.5839,1.456,1.6825,Cool
IMG_00844,Medium,174.675,130.628,104.867,176.457,130.002,103.773,4.958,4.643,8.306,3.43,105.878,151.715,59.496,14.98,13.934,5.254,2.004,2.748,34.275,0.9302,1.3372,1.6657,Cool
IMG_00334,Medium,155.677,125.326,72.492,152.639,125.488,73.366,5.259,3.717,10.602,16.364,70.124,132.644,52.017,15.047,20.994,2.963,1.752,1.417,5.489,1.3953,1.2422,2.1475,Warm
IMG_01192,Fair,205.474,174.163,124.577,204.752,175.713,122.902,11.633,4.919,9.561,13.595,82.722,188.48,73.914,11.407,17.83,3.476,3.467,2.157,53.292,1.5631,1.1798,1.6494,Neutral
IMG_01259,Deep,95.698,59.815,36.658,94.459,57.073,36.93,9.869,10.298,8.678,12.841,95.763,68.955,27.041,17.662,14.12,2.41,1.762,2.747,-58.408,0.7995,1.5999,2.6106,Neutral
IMG_00592,Fair,231.681,177.38,145.163,232.132,178.367,143.589,5.204,6.762,8.593,8.451,64.702,202.767,79.517,19.257,13.542,5.329,2.255,2.743,65.354,0.7032,1.3061,1.596,Cool
IMG_01212,Medium,192.493,144.333,110.6,191.542,142.24,111.451,9.179,5.429,9.503,9.867,83.943,163.154,63.982,18.389,14.954,4.679,2.696,2.294,43.076,0.8132,1.3337,1.7404,Neutral
IMG_00472,Fair,220.041,174.667,144.821,217.734,173.972,143.745,6.924,10.053,3.912,7.599,71.115,195.206,76.552,15.21,13.034,4.694,3.25,3.29,63.853,0.857,1.2598,1.5194,Cool
IMG_00589,Fair,216.333,174.907,144.476,216.49,174.258,144.815,10.189,4.517,6.979,9.561,86.853,200.193,78.507,14.471,11.71,5.099,1.976,2.846,67.669,0.8092,1.2368,1.4974,Cool
IMG_00899,Deep,114.226,68.171,40.71,114.2,69.813,40.693,8.51,10.499,8.331,7.388,81.162,80.343,31.507,17.167,12.841,4.777,2.33,2.122,-55.225,0.748,1.6756,2.8059,Cool
IMG_00825,Tan,144.2,102.09,82.064,145.002,101.374,83.182,9.765,8.091,4.663,12.855,95.465,118.608,46.513,13.137,9.1,3.072,2.104,1.928,-20.968,0.6927,1.4125,1.7572,Cool
IMG_00964,Fair,213.949,165.774,128.046,214.514,164.679,127.491,7.364,9.342,9.283,9.513,95.554,188.626,73.971,15.349,16.512,5.256,2.392,3.57,55.439,1.0758,1.2906,1.6709,Neutral
IMG_00329,Deep,88.356,65.69,22.951,84.671,66.624,22.746,7.724,10.102,10.488,14.516,110.807,68.841,26.996,12.876,19.127,2.827,2.024,1.588,-50.258,1.4855,1.345,3.8497,Warm
IMG_00498,Medium,169.477,126.794,104.505,170.423,127.049,104.492,10.824,10.31,5.5,8.016,50.428,148.676,58.304,16.584,13.189,4.864,2.107,2.96,32.196,0.7953,1.3366,1.6217,Cool
IMG_00319,Fair,189.95,154.576,112.536,189.515,153.533,111.81,9.972,9.755,9.176,15.118,106.016,176.277,69.128,12.392,18.992,3.328,2.912,1.595,45.206,1.5325,1.2288,1.6879,Warm
IMG_01043,Fair,190.319,160.711,116.111,190.307,160.448,116.756,7.665,8.305,9.065,14.52,66.379,179.804,70.511,10.793,18.664,5.115,2.062,3.188,47.699,1.7293,1.1842,1.6391,Neutral
IMG_00084,Tan,164.279,135.36,85.727,162.342,134.633,87.918,7.676,8.995,10.191,15.025,79.074,143.418,56.242,13.44,17.666,5.821,3.01,2.02,19.461,1.3145,1.2136,1.9163,Warm
IMG_00130,Deep,127.18,100.241,47.925,125.419,100.449,48.217,4.011,5.599,8.348,15.221,84.675,101.908,39.964,14.98,20.177,5.897,3.148,1.261,-26.446,1.3469,1.2687,2.6538,Warm
IMG_00781,Medium,167.656,122.603,96.551,166.952,122.936,97.889,9.633,8.279,6.446,9.55,65.964,139.264,54.613,19.051,13.302,3.579,1.786,1.608,19.128,0.6982,1.3675,1.7365,Cool
IMG_00013,Tan,140.954,104.821,61.287,139.571,103.02,61.485,8.012,9.088,8.375,14.671,100.48,112.618,44.164,16.54,21.296,4.808,3.03,3.514,-15.325,1.2875,1.3447,2.2999,Warm
IMG_00539,Medium,197.012,138.345,110.434,197.537,137.445,106.665,5.712,6.53,4.983,3.282,79.623,162.657,63.787,21.316,13.111,4.194,1.467,1.26,46.441,0.6151,1.4241,1.784,Cool
IMG_00172,Medium,177.466,124.407,86.878,176.149,123.082,87.143,5.482,5.451,5.14,16.65,67.7,142.748,55.98,18.381,19.581,2.731,3.099,1.943,16.982,1.0653,1.4265,2.0427,Warm
IMG_00597,Medium,178.127,127.535,103.306,177.11,126.994,105.476,4.01,7.813,4.918,10.485,76.343,149.626,58.677,17.539,12.51,2.768,2.703,1.34,34.744,0.7133,1.3967,1.7243,Cool
IMG_01238,Deep,112.7,80.336,52.21,112.208,80.506,50.233,6.007,8.276,6.394,14.617,83.763,94.192,36.938,13.033,14.402,4.53,2.433,2.628,-42.206,1.105,1.4029,2.1586,Neutral
IMG_00261,Medium,168.128,137.234,91.737,166.763,136.162,93.577,7.127,10.335,10.66,14.505,124.696,151.651,59.471,12.003,18.394,5.201,1.756,1.377,27.244,1.5325,1.2251,1.8327,Warm
IMG_00673,Medium,199.463,141.829,130.951,198.579,141.31,131.445,9.642,7.262,7.019,5.142,82.686,174.443,68.409,16.458,9.564,4.045,2.664,2.916,62.548,0.5811,1.4064,1.5232,Cool
IMG_01315,Medium,171.566,136.615,98.07,169.401,135.162,96.443,10.607,8.511,8.343,12.3,73.004,151.787,59.524,13.767,14.924,5.666,1.334,1.635,32.546,1.084,1.2558,1.7494,Neutral
IMG_00677,Medium,176.626,141.256,105.144,175.493,142.043,105.235,8.315,7.124,3.566,7.729,79.454,150.706,59.1,15.569,15.92,2.007,1.425,1.464,29.753,1.0225,1.2504,1.6798,Cool
IMG_01112,Medium,196.485,145.044,111.519,196.314,144.879,111.303,7.382,9.034,9.537,15.435,95.59,166.051,65.118,13.972,14.409,5.57,1.318,2.571,46.376,1.0313,1.3547,1.7619,Neutral
IMG_01285,Medium,175.895,140.32,107.892,174.796,141.557,109.16,7.072,8.422,10.708,13.129,83.993,157.745,61.861,15.053,14.087,2.609,3.184,2.294,40.095,0.9358,1.2535,1.6303,Neutral
IMG_00333,Medium,192.394,148.229,107.57,191.643,148.403,109.02,5.012,9.398,6.216,17.315,104.518,167.629,65.737,15.78,20.862,4.642,2.283,1.717,37.029,1.3221,1.298,1.7885,Warm
IMG_00356,Medium,187.448,163.324,108.962,185.295,162.54,108.498,5.548,4.973,3.673,15.338,83.634,171.588,67.289,8.608,19.588,5.587,1.685,1.792,41.433,2.2755,1.1477,1.7203,Warm
IMG_00139,Fair,209.687,190.175,136.585,209.135,188.813,138.337,10.787,6.458,5.772,13.749,76.461,201.72,79.106,7.872,20.0,3.301,2.839,3.324,55.506,2.5407,1.1026,1.5352,Warm
IMG_00382,Fair,210.067,165.101,113.699,210.882,166.252,115.052,6.192,5.704,4.376,15.469,121.402,182.083,71.405,16.687,20.425,3.093,1.682,2.384,46.343,1.224,1.2724,1.8476,Warm
IMG_00293,Deep,89.339,63.92,25.564,89.101,62.861,25.788,6.401,4.559,5.635,18.821,88.19,64.553,25.315,14.231,20.042,3.504,2.94,2.603,-50.927,1.4083,1.3977,3.4948,Warm
IMG_01099,Fair,212.816,183.292,129.314,214.026,182.552,130.41,10.812,7.052,7.107,13.02,109.554,197.678,77.521,14.663,19.787,3.361,1.607,3.642,54.285,1.3495,1.1611,1.6457,Neutral
IMG_00494,Medium,195.062,135.923,109.515,194.926,135.358,110.86,10.289,6.139,4.253,3.58,127.885,158.413,62.123,19.177,11.677,4.535,3.224,3.508,46.073,0.6089,1.4351,1.7811,Cool
IMG_00142,Medium,172.475,144.487,93.181,172.046,145.326,93.686,9.639,9.22,7.598,17.53,110.284,156.447,61.352,11.098,19.44,5.868,1.319,2.512,30.282,1.7517,1.1937,1.851,Warm
IMG_00905,Medium,171.224,122.427,93.7,170.02,121.788,95.74,7.205,8.442,7.744,12.61,97.515,144.867,56.811,16.057,13.766,5.701,1.259,3.041,26.323,0.8574,1.3986,1.8274,Neutral
IMG_01107,Fair,201.658,163.957,120.14,201.906,164.539,120.989,9.176,3.889,8.877,12.228,89.358,182.913,71.73,12.463,16.803,2.399,1.523,1.615,52.287,1.3483,1.2299,1.6785,Neutral
IMG_00559,Medium,174.052,125.073,105.939,172.773,126.084,105.061,4.94,8.327,6.566,6.967,87.667,145.562,57.083,17.172,9.261,2.825,2.126,1.397,37.408,0.5393,1.3916,1.643,Cool
IMG_00140,Tan,128.692,100.179,61.472,126.888,100.907,61.252,6.372,8.501,9.193,14.173,104.405,104.855,41.12,13.688,16.769,2.41,2.382,2.523,-27.905,1.2251,1.2846,2.0935,Warm
IMG_01183,Medium,184.955,153.238,110.264,184.576,153.067,110.405,9.94,5.144,5.7,10.048,74.015,162.763,63.829,13.65,16.105,4.278,3.461,1.765,40.651,1.1799,1.207,1.6774,Neutral
IMG_01044,Medium,192.378,148.911,114.512,189.988,150.609,114.434,10.378,6.567,10.7,14.727,90.529,167.952,65.864,16.242,16.823,3.087,2.913,2.289,43.318,1.0358,1.2919,1.68,Neutral
IMG_00225,Medium,161.298,123.049,95.661,162.977,122.591,96.274,11.862,5.25,4.05,18.074,95.274,141.594,55.527,10.743,13.136,4.653,2.569,2.279,22.818,1.2228,1.3108,1.6861,Warm
IMG_00652,Deep,113.843,83.017,64.519,113.896,82.161,64.791,6.328,9.06,7.179,8.109,99.565,95.017,37.261,12.441,9.125,2.159,2.955,1.638,-54.385,0.7335,1.3713,1.7645,Cool
IMG_00275,Tan,136.797,106.58,57.879,136.956,106.442,56.816,7.441,6.564,5.828,16.304,97.288,111.273,43.636,15.247,18.536,5.049,3.353,3.646,-18.948,1.2157,1.2835,2.3635,Warm
IMG_00324,Medium,170.868,143.806,92.876,171.382,143.476,90.234,7.439,5.511,9.026,14.872,80.573,153.679,60.266,11.802,19.076,3.814,3.475,1.342,28.288,1.6163,1.1882,1.8398,Warm
IMG_00452,Fair,220.689,166.75,155.646,219.656,165.266,157.175,5.171,4.823,9.946,6.486,79.487,199.968,78.419,15.658,9.605,3.025,2.074,3.465,71.326,0.6134,1.3235,1.4179,Cool
IMG_00410,Fair,205.93,173.581,115.57,203.068,174.565,115.336,10.989,8.84,7.348,17.967,81.206,188.116,73.771,12.386,20.953,4.683,3.149,1.225,48.606,1.6916,1.1864,1.7819,Warm
IMG_00326,Medium,175.195,133.955,90.833,175.113,134.685,90.164,5.885,10.028,9.946,14.924,123.601,152.208,59.689,16.499,19.516,4.839,2.309,2.553,26.403,1.1829,1.3079,1.9288,Warm
IMG_00598,Tan,156.959,110.811,96.213,158.095,111.575,99.0,9.143,9.528,7.148,7.659,67.547,131.543,51.586,16.292,10.597,2.538,1.866,2.922,8.51,0.6505,1.4165,1.6314,Cool
IMG_00300,Deep,110.692,83.546,37.275,109.818,83.834,38.779,8.727,8.069,5.417,18.162,69.799,86.31,33.847,13.507,21.283,3.458,3.14,1.707,-37.197,1.5757,1.3249,2.9696,Warm
IMG_00724,Tan,145.381,96.774,75.407,144.245,96.653,74.271,10.639,9.749,4.901,14.365,107.397,117.954,46.256,17.393,12.821,4.479,3.31,2.406,-16.278,0.7371,1.5023,1.928,Cool
IMG_00637,Deep,94.753,54.069,50.783,93.816,56.723,51.869,10.768,9.187,7.074,4.841,56.411,72.223,28.323,15.029,6.173,5.411,1.768,1.246,-74.104,0.4108,1.7524,1.8658,Cool
IMG_00550,Medium,177.841,133.334,107.069,178.379,135.552,107.717,9.487,3.625,5.122,9.833,102.05,154.416,60.555,16.347,13.984,2.278,2.512,3.167,37.046,0.8554,1.3338,1.661,Cool
IMG_01253,Deep,96.908,62.208,45.992,95.948,59.955,47.945,9.054,10.132,4.777,10.973,87.822,76.44,29.977,13.173,12.822,2.482,1.277,2.146,-57.367,0.9733,1.5578,2.1071,Neutral
IMG_01273,Tan,152.752,126.07,75.858,154.215,128.851,75.433,9.254,5.82,8.506,11.71,80.895,133.346,52.293,10.858,17.494,5.751,2.7,1.612,7.466,1.6111,1.2116,2.0137,Neutral
IMG_01001,Fair,227.252,179.37,145.233,227.211,178.536,146.924,9.331,8.199,4.959,13.984,82.68,203.406,79.767,14.544,15.958,2.8,2.28,3.57,61.804,1.0973,1.2669,1.5647,Neutral
IMG_01299,Fair,224.647,182.331,142.697,223.931,181.418,140.56,5.504,6.909,10.41,10.595,85.715,203.519,79.811,14.938,18.172,4.469,2.859,2.074,58.634,1.2165,1.2321,1.5743,Neutral
IMG_00753,Tan,163.371,112.058,89.393,161.835,111.793,88.248,6.925,3.818,7.919,7.982,82.907,131.539,51.584,17.566,12.718,4.888,2.979,1.59,7.099,0.7241,1.4579,1.8276,Cool
IMG_01027,Fair,203.152,157.646,128.519,202.367,158.225,127.35,5.75,8.809,4.153,11.969,79.696,177.421,69.577,15.857,13.533,3.958,1.223,3.719,55.344,0.8535,1.2887,1.5807,Neutral
IMG_01161,Fair,204.71,160.513,123.513,204.787,158.366,124.303,6.003,8.809,5.745,11.713,93.383,180.762,70.887,14.409,16.494,5.226,2.428,3.264,51.703,1.1447,1.2753,1.6574,Neutral
IMG_00948,Tan,137.257,93.458,68.07,136.645,93.977,68.446,7.857,6.745,7.414,12.314,73.261,112.488,44.113,12.701,13.894,5.811,2.589,2.775,-22.962,1.094,1.4687,2.0164,Neutral
IMG_01229,Deep,98.658,75.022,20.924,98.24,74.408,20.538,7.155,9.902,9.884,9.997,77.681,72.28,28.345,13.135,19.573,3.82,1.2,3.542,-47.89,1.4901,1.3151,4.7152,Neutral
IMG_00627,Medium,196.715,153.254,128.875,196.857,151.896,130.152,10.096,5.34,3.839,4.317,81.373,173.581,68.071,14.67,10.252,2.007,2.006,1.828,60.432,0.6989,1.2836,1.5264,Cool
IMG_01173,Fair,233.406,179.166,146.098,234.03,175.745,144.285,11.592,6.609,6.769,11.662,89.252,206.477,80.971,18.843,15.623,4.0,2.804,2.156,63.232,0.8291,1.3027,1.5976,Neutral
