image_path,source_dataset,original_label,undertone_label,face_detected,quality_score,total_sampled_pixels,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio
swatch_Makeup_Revolution_#F7E5D3,pudding_foundation_shades,Makeup Revolution - P8.5 (medium skin tones w/ yellow u,warm,True,95.0,80,246.887,228.438,210.338,247.0,229.0,210.0,2.846,2.484,2.398,14.887,37.725,246.887,91.833,3.362,11.025,0.653,1.748,1.483,75.236,3.2788,1.0808,1.1738
swatch_Laura_Mercier_#A17052,pudding_foundation_shades,Laura Mercier - 6W1 Ganache very deep warm,warm,True,95.0,80,160.375,111.25,81.525,160.5,111.0,81.0,2.9,2.596,2.318,11.287,125.3,160.375,51.368,15.887,24.312,0.79,1.718,1.722,3.22,1.5303,1.4416,1.9672
swatch_PAT_McGRATH_LABS_#EEB395,pudding_foundation_shades,PAT McGRATH LABS - Light Medium 12 light medium with r,cool,True,95.0,80,237.475,178.162,148.45,238.0,178.0,149.0,2.811,2.299,2.423,9.975,95.638,237.475,77.441,17.725,23.575,0.693,1.581,1.321,49.334,1.33,1.3329,1.5997
swatch_SEPHORA_COLLECTION_#D3B09F,pudding_foundation_shades,SEPHORA COLLECTION - 16 Cool Linen,cool,True,95.0,80,210.463,175.613,158.463,210.0,176.0,158.0,2.824,2.61,2.607,9.825,63.013,210.463,74.353,9.938,13.5,0.703,1.853,1.725,60.998,1.3585,1.1984,1.3282
swatch_Yves_Saint_Laurent_#B1703D,pudding_foundation_shades,Yves Saint Laurent - BR75 Cool Hazelnut deep/ very deep.,cool,True,95.0,80,176.9,111.388,60.112,177.0,111.0,60.0,2.601,2.233,2.748,13.213,168.325,176.9,53.108,21.163,38.725,0.693,1.561,1.768,4.588,1.8299,1.5881,2.9428
swatch_BECCA_Cosmetics_#5B3429,pudding_foundation_shades,BECCA Cosmetics - Tonka 6W3 (deepest mahogany w/ warm,warm,True,95.0,80,90.412,51.8,40.362,90.5,52.0,41.0,3.036,2.39,2.684,6.862,141.037,90.412,26.176,16.025,14.637,0.697,2.34,1.912,-58.433,0.9134,1.7454,2.24
swatch_MAC_#FEC9AA,pudding_foundation_shades,MAC - N5 (true beige w/ rosy undertones f,cool,True,95.0,80,253.012,200.625,169.35,254.0,201.0,169.5,2.095,2.021,2.637,11.25,84.312,253.012,84.735,14.375,22.712,0.547,1.444,1.433,56.82,1.58,1.2611,1.494
swatch_FENTY_BEAUTY_by_Rihanna_#9E6F50,pudding_foundation_shades,FENTY BEAUTY by Rihanna - 430 for deep skin with warm golden ,warm,True,95.0,80,157.488,110.763,78.987,157.0,111.0,79.0,2.439,2.614,3.027,12.137,127.1,157.488,50.873,14.688,25.038,0.699,1.901,1.946,1.996,1.7047,1.4218,1.9938
swatch_PAT_McGRATH_LABS_#F2C5A4,pudding_foundation_shades,PAT McGRATH LABS - Light Medium 13 light medium with y,warm,True,95.0,80,240.925,196.438,163.3,241.0,196.0,163.0,2.499,2.184,2.502,12.775,82.125,240.925,82.451,11.287,22.6,0.643,1.518,1.471,55.145,2.0022,1.2265,1.4754
swatch_Armani_Beauty_#C9A07F,pudding_foundation_shades,"Armani Beauty - 5 light, neutral",neutral,True,95.0,80,200.412,159.9,126.5,201.0,160.0,127.0,2.751,2.364,2.485,13.637,93.938,200.412,68.765,10.363,23.113,0.627,1.886,1.549,39.073,2.2304,1.2534,1.5843
swatch_Givenchy_#E8C1B6,pudding_foundation_shades,Givenchy - N02 Mat Shell light with pink under,cool,True,95.0,80,230.95,192.85,181.562,231.0,193.0,182.0,3.033,2.46,2.301,6.838,54.525,230.95,81.039,11.838,10.775,0.705,1.699,1.71,70.856,0.9102,1.1976,1.272
swatch_Givenchy_#E2AC8D,pudding_foundation_shades,Givenchy - P210 light-to-medium with cool pink,cool,True,95.0,80,225.75,171.4,140.5,225.5,172.0,141.0,2.69,2.189,2.291,10.863,96.275,225.75,74.422,15.875,23.65,0.617,1.728,1.45,45.92,1.4898,1.3171,1.6068
swatch_Armani_Beauty_#E3C09C,pudding_foundation_shades,"Armani Beauty - 3.8 fair, golden",warm,True,95.0,80,226.762,190.887,155.75,227.0,190.0,155.5,2.852,2.693,2.537,14.875,79.888,226.762,79.618,7.775,22.475,0.747,1.851,1.658,52.807,2.8907,1.1879,1.4559
swatch_Lancôme_#D6AB96,pudding_foundation_shades,Lancôme - 01N Nude Vanilla for light skin wit,neutral,True,95.0,80,214.025,170.738,149.525,214.0,171.0,150.0,2.646,2.728,2.706,9.85,76.812,214.025,73.294,12.8,16.962,0.727,1.86,1.847,53.938,1.3252,1.2535,1.4314
swatch_MAC_#B58459,pudding_foundation_shades,MAC - NC50 (rich brown w/ golden underton,warm,True,95.0,80,180.637,131.6,88.487,180.0,131.0,88.0,3.009,2.705,2.48,14.113,130.05,180.637,58.922,13.75,30.65,0.802,1.806,1.689,16.229,2.2291,1.3726,2.0414
swatch_SEPHORA_COLLECTION_#B48770,pudding_foundation_shades,SEPHORA COLLECTION - 54 Warm Amber,warm,True,95.0,80,179.075,134.637,111.325,179.0,135.0,111.0,2.668,2.675,2.438,10.262,96.463,179.075,59.922,13.887,19.15,0.748,1.981,1.831,27.389,1.3789,1.3301,1.6086
swatch_bareMinerals_#CEB29B,pudding_foundation_shades,bareMinerals - Fair 01 for very fair cool skin wit,cool,True,95.0,80,205.35,177.037,154.488,205.0,177.0,154.0,2.584,2.239,2.356,13.25,63.138,205.35,74.157,6.675,15.238,0.658,1.311,1.653,57.757,2.2828,1.1599,1.3292
swatch_L'Oréal_#DBA97F,pudding_foundation_shades,L'Oréal - Golden Beige,warm,True,95.0,80,218.613,169.025,126.562,218.0,169.0,127.0,2.952,2.711,2.413,13.8,107.3,218.613,72.902,12.8,28.9,0.725,1.996,1.617,38.395,2.2578,1.2934,1.7273
swatch_Too_Faced_#EFD8AF,pudding_foundation_shades,Too Faced - Almond (fair w/ golden undertones),warm,True,95.0,80,238.537,215.35,173.875,238.0,215.0,174.0,2.495,2.56,2.497,19.212,69.112,238.537,87.113,1.863,23.425,0.676,1.664,1.531,57.741,12.5772,1.1077,1.3719
swatch_ULTA_#D19C66,pudding_foundation_shades,ULTA - Medium to Tan Peach,warm,True,95.0,80,208.375,155.375,101.912,209.0,156.0,101.0,2.795,2.293,2.325,15.088,130.238,208.375,68.078,13.537,35.638,0.622,1.823,1.583,26.898,2.6325,1.3411,2.0446
swatch_KVD_Vegan_Beauty_#77533B,pudding_foundation_shades,KVD Vegan Beauty - Tan 078 (tan-deep with warm underto,warm,True,95.0,80,118.175,82.9,58.862,118.0,83.0,59.0,2.514,2.171,2.543,12.213,127.975,118.175,38.49,11.613,19.95,0.665,1.757,1.877,-29.982,1.718,1.4255,2.0076
swatch_Dior_#FEDCC7,pudding_foundation_shades,Dior - 010 Ivory very light with neutral u,neutral,True,95.0,80,253.688,219.525,198.275,254.0,220.0,198.0,1.693,2.752,2.345,11.475,55.638,253.688,89.951,8.637,14.838,0.643,1.804,1.662,69.625,1.7178,1.1556,1.2795
swatch_HOURGLASS_#D7A283,pudding_foundation_shades,"HOURGLASS - Ivory (light medium, cool undertone",cool,True,95.0,80,214.863,161.7,130.887,215.0,162.0,131.0,2.81,2.304,2.356,11.025,99.612,214.863,70.779,15.675,23.775,0.578,1.935,1.508,41.154,1.5167,1.3288,1.6416
swatch_bareMinerals_#996A46,pudding_foundation_shades,bareMinerals - Chestnut 09 (dark neutral skin w/ p,neutral,True,95.0,80,152.2,105.475,69.5,152.0,106.0,69.0,2.943,2.115,2.674,13.037,138.525,152.2,48.721,14.537,27.587,0.691,1.688,1.78,-2.655,1.8977,1.443,2.1899
swatch_Yves_Saint_Laurent_#C69672,pudding_foundation_shades,Yves Saint Laurent - BD65 Warm Bronze tan/ deep. neutral,neutral,True,95.0,80,197.762,149.5,113.662,198.0,150.0,114.0,2.551,2.361,2.361,12.725,108.388,197.762,65.696,13.537,25.9,0.665,1.673,1.609,31.217,1.9132,1.3228,1.7399
swatch_Maybelline_#D6B793,pudding_foundation_shades,Maybelline - Warm Nude 128,warm,True,95.0,80,213.312,182.812,146.65,213.5,183.0,146.0,2.994,2.237,2.73,16.25,79.638,213.312,76.172,5.7,22.438,0.636,1.654,1.709,49.393,3.9364,1.1668,1.4546
swatch_Clinique_#E2B185,pudding_foundation_shades,"Clinique - 08 Golden Neutral (moderately fair,",neutral,True,95.0,80,225.8,176.075,132.338,226.0,176.0,132.0,2.487,2.423,2.627,14.0,105.475,225.8,75.446,12.475,29.35,0.658,1.725,1.517,40.925,2.3527,1.2824,1.7062
data/raw/personal_color_faces/train/여름 쿨톤/smr (8).jpg,personal_color_faces,Summer Cool Tone,cool,True,91.0,2782,193.873,164.084,158.613,200.0,171.0,165.0,19.138,20.692,20.216,4.71,46.939,193.873,69.84,10.023,6.926,7.545,2.509,1.862,70.756,0.691,1.1815,1.2223
swatch_Clinique_#995D2A,pudding_foundation_shades,"Clinique - 26 Amber (deep, warm-neutral undert",neutral,True,95.0,80,152.812,92.562,41.275,153.0,92.0,41.0,2.637,2.423,2.674,13.725,186.1,152.812,45.216,20.212,38.75,0.732,1.737,1.561,-7.038,1.9171,1.6509,3.7023
swatch_Morphe_#ECCDB9,pudding_foundation_shades,Morphe - F1.30 Cool (fairest w/ pink underto,cool,True,95.0,80,234.975,204.7,184.637,235.0,205.0,185.0,2.515,2.384,2.336,11.925,54.562,234.975,84.397,7.525,13.9,0.637,1.673,1.356,67.996,1.8472,1.1479,1.2726
swatch_NARS_#E9BF93,pudding_foundation_shades,NARS - Fiji (light to medium skin w/ neutr,neutral,True,95.0,80,232.238,190.325,146.925,232.5,190.0,147.0,3.009,2.645,2.448,15.3,93.662,232.238,79.843,9.125,27.6,0.776,1.706,1.538,47.236,3.0247,1.2202,1.5807
swatch_Rare_Beauty_by_Selena_Gomez_#7D4C34,pudding_foundation_shades,Rare Beauty by Selena Gomez - 510W deep with warm olive undertone,warm,True,95.0,80,124.062,75.612,51.875,124.0,76.0,52.0,2.981,2.112,2.497,9.85,148.338,124.062,37.255,17.9,22.637,0.665,1.934,1.719,-29.38,1.2647,1.6408,2.3916
swatch_ILIA_#F3D8C4,pudding_foundation_shades,ILIA - 2 Tulum very fair with warm underto,warm,True,95.0,80,242.463,215.188,195.738,243.0,215.0,196.0,2.793,2.53,2.538,12.438,49.05,242.463,87.853,6.438,13.062,0.682,1.596,1.623,70.961,2.0291,1.1267,1.2387
swatch_Beauty_Bakerie_#BA845E,pudding_foundation_shades,Beauty Bakerie - 321 Warm,warm,True,95.0,80,185.338,131.463,93.35,185.0,131.0,94.0,2.725,2.559,2.535,12.412,126.513,185.338,59.495,16.2,28.775,0.726,1.778,1.475,18.262,1.7762,1.4098,1.9854
swatch_Dermablend_#CC9079,pudding_foundation_shades,Dermablend - 35C Light Beige,cool,True,95.0,80,203.85,143.55,121.075,204.0,144.0,121.0,2.988,2.207,2.504,8.162,103.525,203.85,65.034,20.0,21.038,0.631,1.739,1.742,35.551,1.0519,1.4201,1.6837
swatch_Benefit_Cosmetics_#E8C3A0,pudding_foundation_shades,Benefit Cosmetics - Shade 3 (light/neutral)  selected,neutral,True,95.0,80,231.562,194.863,159.45,231.0,195.0,159.0,2.683,2.719,2.144,14.738,79.4,231.562,81.113,7.95,22.738,0.727,1.795,1.514,53.84,2.8601,1.1883,1.4523
swatch_Elcie_Cosmetics_#D2B391,pudding_foundation_shades,Elcie Cosmetics - Cameo (fair light w/ neutral undert,neutral,True,95.0,80,209.825,179.238,144.688,210.0,179.0,144.0,2.906,2.435,2.396,15.963,79.162,209.825,74.917,5.938,21.812,0.663,1.86,1.484,48.801,3.6737,1.1707,1.4502
swatch_Origins_#9B674D,pudding_foundation_shades,Origins - 710 VERY DEEP COOL,cool,True,95.0,80,154.562,102.138,76.537,154.0,102.0,77.0,3.078,2.443,2.382,9.887,128.713,154.562,48.279,18.075,22.988,0.782,1.801,1.728,-4.281,1.2718,1.5133,2.0194
swatch_BECCA_Cosmetics_#F6C8A7,pudding_foundation_shades,BECCA Cosmetics - Porcelain 1N2 (fair beige w/ peachy,neutral,True,95.0,80,245.363,200.025,166.125,245.0,200.0,166.0,2.546,2.475,2.456,12.875,82.338,245.363,83.789,11.375,23.075,0.644,1.77,1.498,55.67,2.0286,1.2267,1.477
swatch_Charlotte_Tilbury_#B4856D,pudding_foundation_shades,Charlotte Tilbury - 10 Dark warm deep gold,warm,True,95.0,80,178.9,132.475,108.537,179.0,133.0,108.0,3.056,2.419,2.761,10.225,100.25,178.9,59.309,14.65,19.837,0.677,1.865,1.82,25.138,1.3541,1.3504,1.6483
swatch_Dior_#C98B6F,pudding_foundation_shades,Dior - 6 Neutral,neutral,True,95.0,80,200.262,138.95,110.175,201.0,139.0,110.0,2.668,2.593,2.668,9.537,114.65,200.262,63.304,20.0,24.825,0.738,1.837,1.752,28.187,1.2412,1.4413,1.8177
swatch_ULTA_#EFCCA6,pudding_foundation_shades,ULTA - Medium Warm,warm,True,95.0,80,239.088,203.4,165.213,239.0,203.0,165.0,2.707,2.587,2.606,15.488,78.812,239.088,84.034,7.162,23.738,0.645,1.874,1.531,55.106,3.3141,1.1755,1.4472
swatch_Morphe_#CD9462,pudding_foundation_shades,Morphe - F2.80 Warm (medium w/ golden undert,warm,True,95.0,80,204.975,147.113,97.2,205.0,147.0,97.0,2.932,2.329,2.566,13.9,134.088,204.975,65.613,16.15,34.862,0.646,1.831,1.618,24.125,2.1587,1.3933,2.1088
swatch_Benefit_Cosmetics_#835138,pudding_foundation_shades,Benefit Cosmetics - Shade 12 (dark/neutral),neutral,True,95.0,80,130.512,80.112,55.312,130.5,80.0,55.0,3.045,2.324,2.543,9.912,146.85,130.512,39.328,18.438,23.413,0.721,1.876,1.671,-24.504,1.2698,1.6291,2.3595
swatch_PÜR_#B17543,pudding_foundation_shades,PÜR - Golden Dark DG3 (dark skin w/ golde,warm,True,95.0,80,176.075,116.013,66.513,176.0,116.0,66.5,2.769,2.171,2.655,13.562,158.662,176.075,54.211,18.663,36.513,0.602,1.923,1.597,6.579,1.9565,1.5177,2.6472
swatch_It_Cosmetics_#DDB290,pudding_foundation_shades,It Cosmetics - Medium Cool 30 (medium complexion w,cool,True,95.0,80,220.262,177.65,143.963,220.0,178.0,144.0,3.061,2.151,2.064,13.287,88.237,220.262,75.5,10.787,23.05,0.558,1.862,1.368,47.889,2.1367,1.2399,1.53
swatch_Smashbox_#D39D6F,pudding_foundation_shades,Smashbox - 2.16 (light w/ warm golden underton,warm,True,95.0,80,211.2,156.588,110.037,211.0,157.0,110.0,2.736,2.558,2.542,13.825,122.138,211.2,68.809,14.738,32.212,0.662,1.954,1.648,30.281,2.1858,1.3488,1.9193
swatch_MAKE_UP_FOR_EVER_#E7D2B4,pudding_foundation_shades,MAKE UP FOR EVER - Y225 Marble for light skin with gol,warm,True,95.0,80,230.725,209.875,179.463,230.5,210.0,179.0,2.593,2.441,2.382,17.825,56.638,230.725,85.206,2.487,17.762,0.635,1.628,1.408,63.228,7.1407,1.0993,1.2856
swatch_HOURGLASS_#B5865A,pudding_foundation_shades,"HOURGLASS - Beige (medium, warm undertone)",warm,True,95.0,80,180.575,133.387,89.188,181.0,133.0,89.0,2.64,2.421,2.716,14.512,129.088,180.575,59.368,12.762,30.825,0.678,1.798,1.745,16.904,2.4153,1.3538,2.0247
swatch_Tarte_#CD936E,pudding_foundation_shades,Tarte - 44N Tan Neutral (tan skin w/ neutra,neutral,True,95.0,80,205.05,147.387,109.213,205.0,147.0,109.0,2.428,2.188,2.246,11.9,119.175,205.05,65.877,17.15,28.825,0.593,1.674,1.233,28.847,1.6808,1.3912,1.8775
swatch_SEPHORA_COLLECTION_#CAA78D,pudding_foundation_shades,SEPHORA COLLECTION - 30 Warm Sand,warm,True,95.0,80,201.537,166.55,140.825,201.0,166.0,141.0,2.902,2.519,2.489,12.762,76.763,201.537,70.853,9.012,18.15,0.664,1.901,1.605,48.964,2.0139,1.2101,1.4311
swatch_VDL_#F3E3D9,pudding_foundation_shades,VDL - A02 Cool Light Beige OUT OF STOCK,cool,True,95.0,80,242.338,226.213,216.338,242.5,226.0,216.5,2.824,2.498,2.408,11.363,27.225,242.338,91.044,3.85,6.8,0.692,1.629,1.576,80.593,1.7662,1.0713,1.1202
swatch_ColourPop_#CCA792,pudding_foundation_shades,ColourPop - Medium 105N (neutral),neutral,True,95.0,80,203.125,166.35,144.912,203.0,166.0,145.0,2.497,2.651,2.57,11.062,73.075,203.125,71.064,10.287,16.225,0.751,1.818,1.725,52.394,1.5772,1.2211,1.4017
swatch_SEPHORA_COLLECTION_#B58771,pudding_foundation_shades,SEPHORA COLLECTION - 50 Neutral Amber,neutral,True,95.0,80,180.15,134.525,112.963,180.0,135.0,113.0,3.021,2.419,2.487,9.6,95.062,180.15,60.054,14.55,18.425,0.717,1.974,1.649,28.62,1.2663,1.3392,1.5948
swatch_Yves_Saint_Laurent_#E5AF88,pudding_foundation_shades,Yves Saint Laurent - BD50 Warm Honey for medium skin wit,neutral,True,95.0,80,228.65,174.675,135.662,228.5,174.0,136.0,2.873,2.682,2.371,12.55,103.688,228.65,75.451,14.7,27.575,0.753,1.764,1.738,42.706,1.8759,1.309,1.6854
swatch_bareMinerals_#DB986C,pudding_foundation_shades,bareMinerals - Pecan 18 (for medium-tan neutral sk,neutral,True,95.0,80,218.325,151.75,107.987,218.0,152.0,108.0,2.428,2.261,2.332,11.85,128.8,218.325,68.397,20.038,32.938,0.567,1.699,1.435,29.185,1.6438,1.4387,2.0218
swatch_MILK_MAKEUP_#D8A385,pudding_foundation_shades,MILK MAKEUP - Almond medium tan with neutral red ,neutral,True,95.0,80,215.3,162.075,132.988,215.0,162.0,133.0,2.799,2.539,2.634,10.6,97.475,215.3,70.975,15.95,22.8,0.686,1.802,1.646,42.613,1.4295,1.3284,1.6189
swatch_Tarte_#794023,pudding_foundation_shades,Tarte - 60N Mahogany (very deep skin w/ neu,neutral,True,95.0,80,120.513,63.2,34.8,120.0,63.0,35.0,2.377,2.624,2.395,9.963,181.363,120.513,33.446,22.262,28.025,0.729,1.941,1.746,-30.57,1.2588,1.9068,3.463
swatch_SEPHORA_COLLECTION_#B48F7C,pudding_foundation_shades,SEPHORA COLLECTION - 38 Neutral Tan,neutral,True,95.0,80,179.238,142.338,123.75,179.0,142.0,123.5,2.628,2.302,2.522,9.988,78.838,179.238,62.162,11.262,15.225,0.653,1.671,1.775,38.618,1.3518,1.2592,1.4484
swatch_LORAC_#C99E75,pudding_foundation_shades,LORAC - 10 (medium with rosy undertones),cool,True,95.0,80,200.562,157.662,116.612,200.5,158.0,116.0,2.683,2.291,2.8,14.688,106.737,200.562,68.069,10.537,27.55,0.587,1.781,1.71,33.259,2.6145,1.2721,1.7199
swatch_Laura_Mercier_#A47355,pudding_foundation_shades,Laura Mercier - 6W1 Ganache very deep warm,warm,True,95.0,80,163.325,114.562,84.287,163.0,115.0,84.0,3.032,2.563,2.032,11.525,123.375,163.325,52.603,15.475,24.538,0.664,2.202,1.491,6.055,1.5856,1.4256,1.9377
swatch_MAC_#FEE3D0,pudding_foundation_shades,MAC - N4 (very fair w/ rosy undertones fo,cool,True,95.0,80,253.137,226.762,207.9,254.0,227.0,208.0,2.09,2.506,2.332,12.45,45.5,253.137,91.882,6.175,12.512,0.672,1.33,1.666,73.366,2.0263,1.1163,1.2176
swatch_It_Cosmetics_#85412F,pudding_foundation_shades,It Cosmetics - Deep (deep skin w/ neutral underton,neutral,True,95.0,80,132.162,64.425,46.612,132.0,64.0,46.0,2.866,2.626,2.337,6.225,165.05,132.162,35.696,27.438,24.125,0.762,2.011,1.661,-30.664,0.8793,2.0514,2.8353
swatch_Benefit_Cosmetics_#D5A575,pudding_foundation_shades,Benefit Cosmetics - Shade 6 - Medium Warm,warm,True,95.0,80,213.125,164.512,116.412,213.5,164.0,116.0,2.517,2.51,2.538,14.887,115.688,213.125,71.044,11.912,31.812,0.694,1.783,1.558,33.485,2.6705,1.2955,1.8308
swatch_Juvia's_Place_#D99C66,pudding_foundation_shades,Juvia's Place - 450 Casablanca (for tan skin w/ gol,warm,True,95.0,80,215.825,155.05,101.912,216.0,155.0,102.0,3.11,2.524,2.399,14.05,134.575,215.825,68.789,16.738,36.663,0.687,1.973,1.604,27.135,2.1904,1.392,2.1177
swatch_Exa_#885A44,pudding_foundation_shades,Exa - 140 Nya (rich brown with golden und,warm,True,95.0,80,135.387,89.825,67.838,135.0,90.0,68.0,2.557,2.114,2.452,9.75,127.225,135.387,42.642,16.05,20.288,0.613,1.739,1.675,-19.935,1.264,1.5072,1.9958
swatch_Laura_Mercier_#DCB286,pudding_foundation_shades,Laura Mercier - Cashew (light with neutral underton,neutral,True,95.0,80,219.725,177.562,133.625,220.0,177.0,134.0,2.598,2.479,2.233,15.375,99.975,219.725,75.235,9.363,28.312,0.715,1.675,1.538,41.711,3.024,1.2375,1.6443
swatch_NUDESTIX_#E8C5B9,pudding_foundation_shades,NUDESTIX - Nude 2 (light neutral cool),neutral,True,95.0,80,232.05,196.438,184.662,232.0,196.0,184.5,2.423,2.593,2.454,7.412,52.087,232.05,82.098,10.825,10.6,0.742,1.547,1.554,71.725,0.9792,1.1813,1.2566
swatch_bareMinerals_#A96D42,pudding_foundation_shades,bareMinerals - Golden Deep 28 (for very deep neutr,neutral,True,95.0,80,167.95,108.412,65.8,168.0,108.0,66.0,2.612,2.338,2.517,12.525,155.1,167.95,51.328,19.4,33.312,0.682,1.67,1.685,2.284,1.7171,1.5492,2.5524
swatch_Bobbi_Brown_#F6E5DA,pudding_foundation_shades,Bobbi Brown - Alabaster 00 lightest beige with a ,cool,True,95.0,80,245.3,228.613,217.225,245.0,229.0,217.5,2.487,2.813,2.646,12.1,29.15,245.3,91.902,3.725,7.638,0.691,1.949,1.727,79.67,2.0503,1.073,1.1292
swatch_Clinique_#E5AE82,pudding_foundation_shades,"Clinique - CN 20 Fair (very fair, cool-neutral",neutral,True,95.0,80,228.762,173.363,129.887,229.0,174.0,130.0,2.771,2.476,2.46,13.213,110.175,228.762,75.054,14.838,30.163,0.663,1.75,1.418,39.714,2.0329,1.3196,1.7612
data/raw/personal_color_faces/test/봄 웜톤/6.jpg,personal_color_faces,Spring Warm Tone,warm,True,81.0,11419,252.507,219.037,176.396,253.0,221.0,178.0,1.281,3.573,3.664,16.946,77.104,252.507,89.266,5.346,25.262,0.995,1.562,1.173,57.245,4.7253,1.1528,1.4315
swatch_Laura_Mercier_#D7AA7F,pudding_foundation_shades,Laura Mercier - 4W1 Tawny olive warm,warm,True,95.0,80,214.075,169.088,126.7,214.0,169.0,127.0,2.932,2.798,2.826,14.537,104.037,214.075,72.441,10.912,28.087,0.772,1.905,1.804,38.624,2.5739,1.2661,1.6896
swatch_NARS_#FBD6AC,pudding_foundation_shades,NARS - Gobi (light skin w/ yellow underton,warm,True,95.0,80,250.15,213.45,171.45,250.0,213.0,171.0,2.712,2.444,2.269,16.012,80.312,250.15,87.632,6.938,25.475,0.62,1.784,1.581,55.904,3.6721,1.1719,1.459
swatch_Clinique_#F1C9AE,pudding_foundation_shades,"Clinique - CN 10 Alabaster (very fair, cool-ne",neutral,True,95.0,80,240.713,200.75,173.887,241.0,201.0,174.0,2.717,2.395,2.372,12.088,70.787,240.713,83.701,10.225,18.7,0.662,1.651,1.444,60.975,1.8289,1.1991,1.3843
swatch_HOURGLASS_#D7A283,pudding_foundation_shades,"HOURGLASS - Ivory (light medium, cool undertone",cool,True,95.0,80,214.312,161.875,130.85,214.0,162.0,131.0,2.677,2.472,2.46,11.188,99.287,214.312,70.779,15.35,23.688,0.668,1.79,1.437,41.258,1.5432,1.3239,1.6378
swatch_Bobbi_Brown_#DBAB91,pudding_foundation_shades,Bobbi Brown - Cool Sand (C-036) light beige with ,cool,True,95.0,80,218.75,170.512,144.438,219.0,170.0,144.0,3.168,2.318,2.509,10.575,86.638,218.75,73.613,14.125,20.275,0.671,1.777,1.581,49.349,1.4354,1.2829,1.5145
swatch_NARS_#C79374,pudding_foundation_shades,NARS - Seychelles for Medium-Deep skin wit,warm,True,95.0,80,198.512,146.988,115.55,199.0,147.0,116.0,2.549,2.562,3.02,11.363,106.513,198.512,65.157,15.363,24.175,0.694,1.872,1.849,32.086,1.5736,1.3505,1.718
swatch_MAKE_UP_FOR_EVER_#C0A18B,pudding_foundation_shades,MAKE UP FOR EVER - Y305 - Soft Beige for lighter mediu,warm,True,95.0,80,192.0,160.787,138.863,192.0,161.0,139.0,2.485,2.396,2.778,12.363,70.45,192.0,68.426,8.188,15.75,0.665,1.74,1.714,49.478,1.9237,1.1941,1.3827
swatch_PAT_McGRATH_LABS_#512F22,pudding_foundation_shades,PAT McGRATH LABS - Deep 35 deepest with red neutral un,neutral,True,95.0,80,80.775,46.288,34.087,81.0,46.0,34.0,2.757,2.594,2.175,7.838,147.238,80.775,23.152,14.412,14.488,0.838,2.223,1.739,-61.648,1.0052,1.7451,2.3696
swatch_MAC_#AE6538,pudding_foundation_shades,MAC - NC45 (warm golden w/ neutral peachy,warm,True,95.0,80,173.562,100.35,55.3,174.0,100.0,55.0,2.928,2.445,2.808,11.375,173.7,173.562,50.044,25.512,37.625,0.758,1.739,1.763,0.067,1.4748,1.7296,3.1386
swatch_florence_by_mills_#AE7153,pudding_foundation_shades,florence by mills - TD160 (tan to deep w/ warm underton,warm,True,95.0,80,173.55,112.188,82.537,174.0,112.5,82.5,3.114,2.398,2.323,9.775,133.662,173.55,53.211,20.95,26.438,0.658,1.993,1.716,6.925,1.2619,1.547,2.1027
swatch_MAKE_UP_FOR_EVER_#CD9F83,pudding_foundation_shades,MAKE UP FOR EVER - Y328 - Nude Sand for lighter medium,cool,True,95.0,80,204.625,158.512,130.675,205.0,159.0,131.0,2.865,2.855,2.553,11.238,92.188,204.625,68.946,13.3,21.15,0.767,2.021,1.831,41.854,1.5902,1.2909,1.5659
swatch_Bobbi_Brown_#CEA26E,pudding_foundation_shades,Bobbi Brown - Warm Natural (W-056) medium beige w,warm,True,95.0,80,205.463,161.15,109.713,206.0,161.0,110.0,3.102,2.535,2.367,16.087,118.812,205.463,69.314,9.925,32.975,0.686,2.042,1.673,30.358,3.3224,1.275,1.8727
swatch_Clinique_#D6A682,pudding_foundation_shades,"Clinique - CN 70 Vanilla (moderately fair, coo",neutral,True,95.0,80,213.287,165.725,129.25,213.0,166.0,129.0,2.776,2.408,2.667,12.988,100.463,213.287,71.574,12.688,25.65,0.601,2.035,1.696,40.066,2.0217,1.287,1.6502
swatch_Gucci_#E7B38E,pudding_foundation_shades,Gucci - 160N fair with neutral undertones,neutral,True,95.0,80,230.613,178.225,141.188,231.0,178.0,141.0,3.006,2.264,2.789,12.4,98.787,230.613,76.608,14.238,26.275,0.611,1.748,1.71,45.361,1.8455,1.2939,1.6334
swatch_Estée_Lauder_#D7BEA8,pudding_foundation_shades,Estée Lauder - 1W1 Bone (light with warm undertone,warm,True,95.0,80,213.8,189.887,167.238,214.0,190.0,167.0,2.462,2.49,2.232,14.613,55.513,213.8,78.446,4.963,14.55,0.649,1.684,1.516,62.911,2.932,1.1259,1.2784
swatch_The_Ordinary_#9A6D4E,pudding_foundation_shades,The Ordinary - 3.2 N (deep w/ neutral undertones),neutral,True,95.0,80,153.688,108.75,78.1,153.0,109.0,78.0,2.714,2.294,2.732,12.15,125.35,153.688,49.887,14.175,24.225,0.64,1.889,1.651,-0.267,1.709,1.4132,1.9678
